clean_tweet,class
merry christmas to all yall bitches and hoes,1
holy fuck they some bomb ass bitches at bucees,1
bitches get stuff done.,1
bitch i got the flameeee,1
umm how about they are at home raising kids? you are retarded.,1
dont blame me blame ya bitch cant help she want a nigga,1
rt bitch ya betta! haha i care for too love!,1
never said i wanted to fuck a tranny...,1
i feel bad for all you bitches that have never been to disney world,1
im trash,2
why did they add your name all ghetto like that? looks like they used label maker lol!,2
your bitch called she was missing this dick,1
yall are so confused these days. somebody put that hoe in a dress,1
rt go home bitch,1
everybody in dot moboredmickey factz when you battled clips he wore some ancient hong kong shit different colored hitops,1
rt rt charlie strong got down to the man roster nearly as quickly as texans did,2
i aint trippen off you no mo i done dropped you knocked owe i could neva be a foo for a hoe i put...,1
cool beaners. i just got home. ready to keep my couch from floating away. lol,2
rt hannah is retarded dont listen to her.,1
rt the new nature area replacing indian boundary parks former zoo is expected to attract a variety of migratory birds,2
im sick and tired of faggot cages trying to see how long before moses kills a royal.................. worldseries barrybonds jokes,1
sweetest bitch youll ever meet,1
cant have a bitch with no future or goals. i love kids but if youre not a parent first i cant deal with you,1
faggot,0
i hope the trash i talk abt s poor product doesnt hurt my chances of getting hired as a legal correspondent. i was jk cnn.,2
when you open your starburst candy and get yellows lmao bruh,2
kobe to dwight you a soft muthafucka and you a bitch ass nigga! lmaooo,1
were talking about fucking you right in the pussy,1
amp if you aint a ho get up out my trap hooouseee.,1
do we love these hoes?,1
bound gagged shoved in a trash bin with two bullets in the back of the head. i suspect natural causes. said the worlds worst detective.,2
my niggah i was waiting all weekend to take these shits,1
what the fuck is wrong with you. you cant call urself a man if u call a girl a bitch. ur a fuckin loser bro,1
thisty hoe,1
one day you niggas gone learn when not to fuck an ugly bitch. because these pregnancies need to be stopped,1
rt life to short to be salty.. get u some pussy be happy,1
my luck the bitch gonna drug me an i wont even kno what happened lmao,1
these brownies,2
holy fuck thank you. i hate bitches that just fuck their ex then their boyfriend then back to back like damn call you peace pipe,1
rt its birthday i wish you many big booty hoes mane. shit ima turn up for your birthday too,1
lmao! rt lmao rt youll never be vegas. you faggot punk bitch.,1
apparently im a honky. pfft. like thats a bad thing.,2
only one current yankee sells! only one current bosox sells! only one player on each l.a. team sells! most teams have yeah.,2
saves you a brownie,2
bruh. sasuke and sakuras daughter gonna be a bad uchiha bitch,1
rt you hoes getting outta hand,1
these niggas be actin like bitches,1
fuck olive that bitch,1
coons and monkeys like you disgust me you minstrel show negro. crying about shit all the time youre a disgrace everywhere,0
the biebs is getting fucked right in the pussy,1
rt ppl from the uk go dumb hard when they curse they be like you shitting cunt i be like dam cunts cant shit,1
got ya bitch tip toeing on my hardwood floors,1
im not hollywood at all my nig u brought me to twitter n bounced,1
just pulled out his pocket constitution! bring it man! just mocked mccains wackobirds comment! hahaha!!!!! standtall,2
yall forget he has his brand new baby girl at home bitch the cookies are burning,1
lol love you little bitch,1
i would def call dwight a cradle robbing faggot if i were kobe.,1
rt like if youre a bitch own it and be a bitch. but just cuz you got some flower emojis in some tweets doesnt mean youre som,1
rt pink nipples are cute but some be looking nasty than a bitch!,1
im rick james bitch show me ya titties,1
rt fat bitch im thick,1
niggas talk more then bitches these days,1
rt dont ever be afraid to double bitch down. ppl always expect you to be like im sorry if i got loud. or im sorry to s,1
town . at a movie with friends. i stabbed a nig times and got sent to prison. justice?,0
boy yo bitch a lame dont nobody know her but you,1
i aint trippen cause i like her anyways she got a niggah and i got a girl but anyways yea anyways,1
ion care if im in the wrong bitch dont blow ur horn at me,1
rt the face you make when you see a hoe trying to preach on twitter,1
i really be baggin bitches with no problem in basketball shorts b i dont know if its my smile or my cologne or maybe its just my swag idk,1
rt where is everybody getting this fuck her right in the pussy sayin from?,1
rt tell him that you chose a not to trash the environment while trying to save it like a hypocritical douc,2
why are these freshman so ghetto lmao,1
im crazy and wayne can rap about pussy songs in a row,1
our people. now is the time for the aryan race stand up and say no more. before the mongerls turn the world into a ghetto slum.,0
look bitch .. go and suck a dick im a real street nicca i aint wit dat sucka shit!!,1
rt fuuck jalens a slow bitch!,0
rt every bitch with her ass out on instagram bio be like deleted at k for booking email backpagepussy.com,1
dem hoes more this nigga out here fucking retired widows new race fuck black woman,1
no this bitch did not yell down the steps to tell me dont eat her damn chicken. tf,1
those my v necks now ho,1
hung with all dudes and wasnt fuckin no bitches so.,1
rt her being albino isnt the problem. its that gut that hair and that fish net she decided to wear. sooo many things wrong w,2
calm down you little asian lol just go flip a bitch!,1
brown is a color so my eyes are colored,2
nigga be a straight gentleman then he speaks bitch comes with that funky ass attitude then the gentleman shit goes out the window.,1
well i for damn sure aint putting on no pussy ass romo jersey,1
i aint finna sleep bitch its oclock when you finish noddin meet me at the top,1
i know you are a pussy ass coward that is weaker and smaller like gz,1
rt isnt ebola a type of soup??? naw nigga its a country. my bitch is from there. she ebolian.,1
pornandroidiphoneipadsexxxx desi spicy oriental paki brunette sucks an un,1
as i tweeted before any man telling me to go to the kitchen this season could tell his mom that father probably wouldnt of left..bitch,1
i was in the club and there was this good lookin bitch. ..she had gold teeth tho. i was confused smh,1
these niccas want war give me what you got wethelastonesleft umightnotgetin beerandtacos,1
lol its gonna be so fun got two niglets on the way,1
i had liked this one bitch but she always was in some shit causing some fucking drama,1
studying for this bio test like a hoe,1
foto imapython bieg albino sea turtle i think u mean soul of the ocean,2
the spot is open for you take so your better grab it before another bitch do and if she is determined and beautiful enough she will do it!,1
rt shut up bitch everyones perfect the way they are.,1
bitch do i look white to u,1
after a fight in the club in new orleans them bitches start jumping,1
fuckin hot gym pussy fuck yeah,1
rt what i wish i can do every time i day playing flappy birds foreall,2
what is twitter even for? lmao this hoe wack af,1
tom brady slowly becoming washed? nah.. his weapons just trash,2
rt rt of these hoes be fake gay,1
she going full retard right now smh,1
i still hate the bitches at the dmv californiadmv miserable hoes,1
it aint nothing to cut that bitch off,1
you can be a hoe in love,1
rt i cant stand to be around ghetto girls.,2
dirty hoe,1
rt . i wish you would stop being a hoe.,1
my timeline looks thirsty bc all you basic hoes keep talking bout the same nigga that dont matter ctfuu,1
why yall bitches be havin stretch marks on yall upper ass,1
the undesirables rt these bitches big bruh,1
watch the blacks and whiggers cry,1
ltthis bitch,1
when people tailgate then pass you up and look lol i just wave like hi bitch yeah i see you do i care fuck no pass me up,1
rt damn girl that pussy talkin im keeled over nigga,1
ima pull up eat on that pussy n dip,1
rt everybody thats still on facebook ghetto or pregnant idc.accurate,2
too bad hes a faggot,1
i swear i care about everything else but these bitches .,1
rt ion be understanding how all you hoes drop yall nuts at once but when a bitch on your ass you cant hear a mouse piss,1
rt girl i know you got hoes me,1
you a oreo cookie now.,2
slaw ass team time to start dat bitch ova,1
maybe she wants to be more than your friend or maybe shes a stupid bitch. you never know until you make her cum.,1
like i really want a rafter monkey,2
why cant i have colored eyes like my siblings,2
rt niggas loose they down bitch for a bitch who down to snitch,1
a ghetto girls best bet is to find work at a call center and try to climb that corporate latter.,2
ill get so much pussy.,1
yo bitch a freak fucked ha to sleep and dat was the last time i was slept on. . .shit i woke ha up nd fucked ha again so she aint sleep long,1
if racial minorities werent criminally inclined they wouldnt have so much to worry about. act your color race traitor!,0
biggest booth i ever seen lastnight bitch had a leopard print jumper on look like an over weight leopard,1
babe its the thought that counts..bitch you a thot,1
how is it fucked up you fucking retard? condemning ray rice yet supporting chris brown whos a women abuser. thats logical?,1
its trash ik just wanted to fuck with dorsey,1
hurry up nigga this the last key they dont know where the fiberglass safe at to get in that bitch you need a glass key!,1
so pissed i forgot that saiyan bitches infio. she gave ne her ig tioo. fuck,1
i dont shit talk i chip talk dese niggaz jus bitch talk dese niggaz jus chik stalk naw i aint got no chik...,1
rt rt come somebody please get me a ps? willing to eat pussy for it if need be.,1
lol he still a lil bitch,1
there are some retarded ass movies on netflix,1
cants da coloreds and da white folk gets along? we all be da same cept da colored men gots da bigga dicks,1
i got some bitch ass coworkers. i stay late every day last week i dont complain about them mfs. they stay late they send emails that i left,1
rt looked like princess bella in that yellow dress,2
haha bitch,1
yep im an asshole..oh well he shouldnt be such a little bitch..im sure he hears worse on a daily basis,1
you need your ass whipped with a whip mr house nigger remember u will always b a nigger to them!,1
rt rumours that the boys will be touring around the world for otra tour and it will end in the ukireland as a welcome ho,2
bad bitches only ...,1
that hate shit dont mean nothing bitch im feeling myself,1
pornandroidiphoneipadsexxxx xxx homemade pussy eating,1
never worried about the next bitch. always worryin about the next meal. im tryna fuckin eat fuck what you talkin bout,1
rt lol at the bitches that act like they single but now have to post pictures with they nigga hahaha,1
hoes.,1
twitters little blue birds name is larry after celtics isu larry bird stick ticker is twtr.,2
aint met a bitch yet that could compete.,1
yea i listen to that hoe when i wake up,1
rt bitch ass nigga square up,1
dream job for a pedophile dressing up like mickey mouse and hugging kids all day,1
rt unfollow me bitch. i wont cry about it.,1
like i said... fuck a lebron. his fan base bandwagons dick riders amp loyal ass eaters. i dont like bitch niggas amp those that love one.,1
shoutout to everybody that follow a nicca!!,1
rt bae go talk to your other hoes me,1
ha ha ha no good fat dyke,0
i really did right off my bed. where you put all these dam yellow starburst!!!! throws them out the window,2
ios autocorrect is trash rt my phone be capitalizing the dumbest things!,2
rt how to curve tf outta hoes...,1
tia chepa... uhh noo bitch she is your tia irma aghh hes so annoying,1
chris bosh made danny green his bitch last night,1
bitch youre the ugliest cunt ever.,0
just might fuck yo main bitch. dats just how i feel,1
i stalk my bfs insta and follow any girl that flirts with him. scare the bitches,1
so many shady bitches. the secret thirst is alive,1
not ya grandma brownies wink wink,2
rampb is so trash now compared to early s.,2
nah bitch apples apples apples! but bitch nawl cuz oranges oranges oranges! bitch. you dumb as fuck.,1
they not gonn comment cause they in the closet hoes lol! team getchoassoutdatcloset lol,1
not no but hell no when blk. stop sayin nigger i will what they can have i can have. this is america,0
i aint buying no pussy i got too many followers for that,1
i hate when bitches be like i love him so much lt!!!,1
rt christians massacred by jihadi muslims while they slept! including pastor his wife amp kids,2
rt bitches love miley cyrus and rihanna cuz they speak to every girls inner hoe,1
real bitches who really hungry wont be out here arguing with bitches on twitter straight flexin,1
i cant tell you the last time i seen niggaz have a fight but i see bitches fight on video daily.,1
rt you hoes aint worth losing sleep over,1
i beat the pussy up yg,1
rt lmfaooo like is this bitch alanah serious ?,1
i tell this bitch followback. she rts me saying followback. then doesnt followback. blocked like fuck,1
lowkey youre still my bitch,1
